Date,sell
2001/1/25,356.730774
2001/1/26,357.211548
2001/1/29,345.153839
2001/1/30,344.307678
2001/1/31,359.615387
2001/2/1,357.692322
2001/2/2,355.769226
2001/2/5,356.769226
2001/2/6,368.076935
2001/2/7,366.692322
2001/2/8,367.307678
2001/2/9,362.615387
2001/2/12,351.230774
2001/2/13,366.615387
2001/2/14,362.769226
2001/2/15,356.153839
2001/2/16,357.692322
2001/2/20,363.076935
2001/2/21,366.923065
2001/2/22,364.230774
2001/2/23,358.076935
2001/2/26,361.538452
2001/2/27,365.230774
2001/2/28,369.230774
2001/3/1,350
2001/3/2,348.846161
2001/3/5,344.230774
2001/3/6,355.769226
2001/3/7,349.769226
2001/3/8,355
2001/3/9,348.076935
2001/3/12,330.769226
2001/3/13,319.230774
2001/3/14,313.461548
2001/3/15,319.230774
2001/3/16,310.769226
2001/3/19,313.076935
2001/3/20,319.230774
2001/3/21,308.076935
2001/3/22,298.076935
2001/3/23,298.076935
2001/3/26,311.538452
2001/3/27,313.461548
2001/3/28,317.307678
2001/3/29,317.692322
2001/3/30,321.153839
2001/4/2,319.384613
2001/4/3,319.615387
2001/4/4,304.230774
2001/4/5,315.384613
2001/4/6,319.615387
2001/4/9,318.769226
2001/4/10,328.846161
2001/4/11,341.538452
2001/4/12,335
2001/4/16,342.538452
2001/4/17,339.230774
2001/4/18,352.923065
2001/4/19,365.384613
2001/4/20,373.153839
2001/4/23,367.307678
2001/4/24,361.538452
2001/4/25,359.230774
2001/4/26,376.538452
2001/4/27,379.230774
2001/4/30,384.538452
2001/5/1,369.615387
2001/5/2,377.153839
2001/5/3,377.692322
2001/5/4,366.153839
2001/5/7,384.076935
2001/5/8,384.307678
2001/5/9,376.923065
2001/5/10,385.769226
2001/5/11,383.384613
2001/5/14,377
2001/5/15,382.538452
2001/5/16,384.538452
2001/5/17,400
2001/5/18,400.846161
2001/5/21,407.615387
2001/5/22,408.846161
2001/5/23,403.461548
2001/5/24,394.230774
2001/5/25,393.846161
2001/5/29,387.615387
2001/5/30,382.076935
2001/5/31,378.076935
2001/6/1,376.846161
2001/6/4,377.692322
2001/6/5,378.461548
2001/6/6,376.923065
2001/6/7,375
2001/6/8,375.692322
2001/6/11,368.076935
2001/6/12,364.615387
2001/6/13,370
2001/6/14,375.153839
2001/6/15,371.538452
2001/6/18,376.923065
2001/6/19,383.076935
2001/6/20,374.615387
2001/6/21,387.692322
2001/6/22,393.076935
2001/6/25,397.692322
2001/6/26,376.923065
2001/6/27,374.615387
2001/6/28,367.307678
2001/6/29,376.923065
2001/7/2,376.307678
2001/7/3,380.769226
2001/7/5,375.384613
2001/7/6,370.769226
2001/7/9,360.769226
2001/7/10,359.615387
2001/7/11,352.307678
2001/7/12,353.076935
2001/7/13,358.461548
2001/7/16,362.692322
2001/7/17,351.923065
2001/7/18,350.769226
2001/7/19,356.153839
2001/7/20,359.230774
2001/7/23,357.692322
2001/7/24,349.230774
2001/7/25,341.538452
2001/7/26,338.076935
2001/7/27,339.615387
2001/7/30,342.692322
2001/7/31,333.461548
2001/8/1,330.769226
2001/8/2,331.538452
2001/8/3,325.384613
2001/8/6,326.153839
2001/8/7,318.846161
2001/8/8,325.769226
2001/8/9,320.384613
2001/8/10,323.076935
2001/8/13,326.923065
2001/8/14,327.692322
2001/8/15,323.076935
2001/8/16,319.461548
2001/8/17,317.692322
2001/8/20,315.384613
2001/8/21,319.384613
2001/8/22,311.923065
2001/8/23,314.615387
2001/8/24,316.153839
2001/8/27,323.076935
2001/8/28,325
2001/8/29,320.384613
2001/8/30,313.076935
2001/8/31,308.846161
2001/9/4,314.615387
2001/9/5,315.230774
2001/9/6,317.692322
2001/9/7,307.692322
2001/9/10,300.076935
2001/9/17,273.076935
2001/9/18,270.769226
2001/9/19,264.615387
2001/9/20,240.769226
2001/9/21,223.07692
2001/9/24,259.615387
2001/9/25,270.846161
2001/9/26,276.923065
2001/9/27,273.846161
2001/9/28,279.230774
2001/10/1,286.923065
2001/10/2,288.846161
2001/10/3,289.615387
2001/10/4,295.769226
2001/10/5,287.615387
2001/10/8,282.692322
2001/10/9,283.076935
2001/10/10,283.153839
2001/10/11,295.384613
2001/10/12,299.538452
2001/10/15,296.538452
2001/10/16,298.923065
2001/10/17,298.076935
2001/10/18,285.384613
2001/10/19,284.615387
2001/10/22,285.769226
2001/10/23,292.307678
2001/10/24,286.769226
2001/10/25,283.461548
2001/10/26,294.153839
2001/10/29,297.307678
2001/10/30,282.692322
2001/10/31,281.538452
2001/11/1,278.846161
2001/11/2,289.230774
2001/11/5,296.923065
2001/11/6,298.230774
2001/11/7,305
2001/11/8,304.230774
2001/11/9,309.923065
2001/11/12,306.923065
2001/11/13,307.692322
2001/11/14,315
2001/11/15,314.461548
2001/11/16,319.615387
2001/11/19,316.538452
2001/11/20,316.923065
2001/11/21,315.384613
2001/11/23,312.692322
2001/11/26,318.846161
2001/11/27,316.923065
2001/11/28,309.615387
2001/11/29,302.692322
2001/11/30,305.615387
2001/12/3,295.384613
2001/12/4,290.384613
2001/12/5,289.230774
2001/12/6,291.538452
2001/12/7,290.461548
2001/12/10,286.153839
2001/12/11,287.307678
2001/12/12,288.076935
2001/12/13,283.461548
2001/12/14,285
2001/12/17,290.769226
2001/12/18,305.769226
2001/12/19,305.384613
2001/12/20,313.846161
2001/12/21,316.153839
2001/12/24,318.076935
2001/12/26,314.615387
2001/12/27,311.538452
